TIME_STAMP	Lon	Lat	5G-NR NAS Registration Procedure Registration Time(ReqToAcc) [sec]	5G-NR NAS Registration Procedure Registration Time(ReqToComp) [sec]
2024-03-19 22:28:47.238094	-93.182442	44.976501		0.437
2024-03-19 22:30:19.430404	-93.182442	44.976501	0.391	
2024-03-19 22:30:19.430549	-93.182442	44.976501		0.392
2024-03-19 22:32:47.159136	-93.182442	44.976501	0.356	
2024-03-19 22:32:47.159337	-93.182442	44.976501		0.357
2024-03-19 22:34:19.446234	-93.182442	44.976501	0.396	
2024-03-19 22:34:19.446375	-93.182442	44.976501		0.397
2024-03-19 22:36:47.333536	-93.182442	44.976501	0.463	
2024-03-19 22:36:47.333694	-93.182442	44.976501		0.464
2024-03-19 22:38:19.521362	-93.182442	44.976501	0.466	
2024-03-19 22:38:19.521548	-93.182442	44.976501		0.467
2024-03-19 22:40:47.345033	-93.182442	44.976501	0.426	
2024-03-19 22:40:47.350129	-93.182442	44.976501		0.427
2024-03-19 22:42:19.519185	-93.182442	44.976501	0.457	
2024-03-19 22:42:19.519341	-93.182442	44.976501		0.458
2024-03-19 22:44:47.288636	-93.182442	44.976501	0.402	
2024-03-19 22:44:47.288761	-93.182442	44.976501		0.403
2024-03-19 22:46:19.652023	-93.182381	44.976440	0.501	
2024-03-19 22:46:19.652282	-93.182381	44.976440		0.502
2024-03-19 22:48:47.327100	-93.182404	44.976460	0.491	
2024-03-19 22:48:47.327267	-93.182404	44.976460		0.492
2024-03-19 22:50:19.452920	-93.182411	44.976471	0.377	
2024-03-19 22:50:19.453204	-93.182411	44.976471		0.377
2024-03-19 22:52:47.311198	-93.182419	44.976479	0.462	
2024-03-19 22:52:47.311297	-93.182419	44.976479		0.463
2024-03-19 22:54:19.460729	-93.182419	44.976479	0.457	
2024-03-19 22:54:19.460895	-93.182419	44.976479		0.458
2024-03-19 22:56:47.312711	-93.182419	44.976479	0.460	
2024-03-19 22:56:47.312895	-93.182419	44.976479		0.461
2024-03-19 22:58:19.598351	-93.182426	44.976479	0.507	
2024-03-19 22:58:19.598469	-93.182426	44.976479		0.508
2024-03-19 23:00:47.493160	-93.182426	44.976479	0.556	
2024-03-19 23:00:47.493300	-93.182426	44.976479		0.557
2024-03-19 23:02:19.541609	-93.182434	44.976479	0.441	
2024-03-19 23:02:19.541742	-93.182434	44.976479		0.442
2024-03-19 23:04:47.185483	-93.182442	44.976479	0.341	
2024-03-19 23:04:47.185815	-93.182442	44.976479		0.342
2024-03-19 23:06:19.596552	-93.182442	44.976479	0.393	
2024-03-19 23:06:19.596702	-93.182442	44.976479		0.394
2024-03-19 23:08:47.333750	-93.182442	44.976479	0.382	
2024-03-19 23:08:47.333901	-93.182442	44.976479		0.383
2024-03-19 23:10:19.680063	-93.182442	44.976479	0.560	
2024-03-19 23:10:19.680229	-93.182442	44.976479		0.561
2024-03-19 23:12:47.377157	-93.182442	44.976479	0.417	
2024-03-19 23:12:47.377302	-93.182442	44.976479		0.417
2024-03-19 23:14:19.607150	-93.182457	44.976452	0.483	
2024-03-19 23:14:19.607359	-93.182457	44.976452		0.483
2024-03-19 23:16:47.324987	-93.182449	44.976440	0.437	
2024-03-19 23:16:47.325109	-93.182449	44.976440		0.437
2024-03-19 23:18:19.562042	-93.182449	44.976440	0.431	
2024-03-19 23:18:19.562272	-93.182449	44.976440		0.432
2024-03-19 23:20:47.410630	-93.182449	44.976452	0.516	
2024-03-19 23:20:47.410759	-93.182449	44.976452		0.517
2024-03-19 23:22:19.533191	-93.182449	44.976460	0.397	
2024-03-19 23:22:19.533367	-93.182449	44.976460		0.398
2024-03-19 23:24:47.357542	-93.182449	44.976460	0.457	
2024-03-19 23:24:47.357706	-93.182449	44.976460		0.458
2024-03-19 23:26:19.560103	-93.182449	44.976460	0.413	
2024-03-19 23:26:19.560232	-93.182449	44.976460		0.413
2024-03-19 23:28:47.356579	-93.182449	44.976460	0.446	
2024-03-19 23:28:47.356712	-93.182449	44.976460		0.447
2024-03-19 23:30:19.519693	-93.182449	44.976471	0.366	
2024-03-19 23:30:19.519833	-93.182449	44.976471		0.367
2024-03-19 23:32:47.498846	-93.182449	44.976471	0.501	
2024-03-19 23:32:47.499132	-93.182449	44.976471		0.502
2024-03-19 23:34:19.559549	-93.182449	44.976471	0.391	
2024-03-19 23:34:19.559704	-93.182449	44.976471		0.392
2024-03-19 23:36:47.316686	-93.182449	44.976479	0.392	
2024-03-19 23:36:47.316841	-93.182449	44.976479		0.393
2024-03-19 23:38:19.638651	-93.182449	44.976479	0.471	
